組み合わせ,オッズ
"('ニシノキララコ', 'ユノディエール', 'マイネルヘミニス')",4856.75544404936
"('ニシノキララコ', 'ユノディエール', 'プラチナヴォイス')",1420.9897224465574
"('ニシノキララコ', 'ユノディエール', 'スピリットソウル')",353.1694482027515
"('ニシノキララコ', 'ユノディエール', 'ジャコマル')",50406.54137773357
"('ニシノキララコ', 'ユノディエール', 'クインズゴールド')",7864.815857576987
"('ニシノキララコ', 'ユノディエール', 'アルマバテーム')",48861.952401514754
"('ニシノキララコ', 'ユノディエール', 'ナルカミ')",3309.3983040114995
"('ニシノキララコ', 'ユノディエール', 'プエルタデルソル')",5859.7028687869115
"('ニシノキララコ', 'マイネルヘミニス', 'プラチナヴォイス')",572.7824681211109
"('ニシノキララコ', 'マイネルヘミニス', 'スピリットソウル')",141.51085307276378
"('ニシノキララコ', 'マイネルヘミニス', 'ジャコマル')",20332.396156043542
"('ニシノキララコ', 'マイネルヘミニス', 'クインズゴールド')",3172.2951646374313
"('ニシノキララコ', 'マイネルヘミニス', 'アルマバテーム')",19709.3553750688
"('ニシノキララコ', 'マイネルヘミニス', 'ナルカミ')",1334.6896939753274
"('ニシノキララコ', 'マイネルヘミニス', 'プエルタデルソル')",2363.4709204254414
"('ニシノキララコ', 'プラチナヴォイス', 'スピリットソウル')",39.75833138553448
"('ニシノキララコ', 'プラチナヴォイス', 'ジャコマル')",5950.318785672308
"('ニシノキララコ', 'プラチナヴォイス', 'クインズゴールド')",927.9648305924567
"('ニシノキララコ', 'プラチナヴォイス', 'アルマバテーム')",5767.971842390706
"('ニシノキララコ', 'プラチナヴォイス', 'ナルカミ')",390.03075348478217
"('ニシノキララコ', 'プラチナヴォイス', 'プエルタデルソル')",691.2147012211399
"('ニシノキララコ', 'スピリットソウル', 'ジャコマル')",1482.7928651008917
"('ニシノキララコ', 'スピリットソウル', 'クインズゴールド')",230.16984470258308
"('ニシノキララコ', 'スピリットソウル', 'アルマバテーム')",1437.3171539310808
